"","I","L","SNR","ci_width","samp","t.rho","seeds","samp.1"
"34",200,50,0.1,1.27722747794478,0.276773853665222,0,53241,0.276773853665222
"35",100,50,0.1,1.00993369036904,0.377283297490358,0.5,684185,0.377283297490358
"36",200,50,0.1,0.605271866006481,0.2679515047802,0.5,368917,0.2679515047802
"37",100,50,0.2,0.676946047138862,0.390003685525322,0,917545,0.390003685525322
"38",200,50,0.2,0.417582786028915,0.275040309346473,0,931930,0.275040309346473
"39",100,50,0.2,0.512145705799605,0.35100759068011,0.5,761055,0.35100759068011
"40",200,50,0.2,0.36339082083797,0.24674992513886,0.5,990324,0.24674992513886
"41",100,50,0.1,1.20853063069037,0.388888711935948,0,895750,0.388888711935948
"42",200,50,0.1,0.758160176636464,0.27393178197327,0,707016,0.27393178197327
"43",100,50,0.1,0.962152596166104,0.379479765474202,0.5,356182,0.379479765474202
"44",200,50,0.1,0.732963549411479,0.264056066206931,0.5,451743,0.264056066206931
"45",100,50,0.2,0.590661391004261,0.391599402052574,0,994513,0.391599402052574
"46",200,50,0.2,0.408250987089665,0.273380708828657,0,370482,0.273380708828657
"47",100,50,0.2,0.469122544853712,0.358368635594159,0.5,43042,0.358368635594159
"48",200,50,0.2,0.375670335569921,0.257327592022593,0.5,208909,0.257327592022593
"49",100,50,0.1,1.5924946754337,0.391643424387026,0,268278,0.391643424387026
"50",200,50,0.1,0.9417616167305,0.277040608241126,0,951027,0.277040608241126
"51",100,50,0.1,1.16226220683106,0.38472918519548,0.5,546100,0.38472918519548
"52",200,50,0.1,0.743813493265576,0.276580500330193,0.5,390233,0.276580500330193
"53",100,50,0.2,0.536781426767411,0.39033638189987,0,564183,0.39033638189987
"54",200,50,0.2,0.394004158308317,0.276489457846217,0,140712,0.276489457846217
"55",100,50,0.2,0.343207990166416,0.288597863924895,0.5,783007,0.288597863924895
"56",200,50,0.2,0.330224995006732,0.237253009807533,0.5,533614,0.237253009807533
"57",100,50,0.1,1.02363878648603,0.390554283010223,0,914496,0.390554283010223
"58",200,50,0.1,1.00394190678166,0.276156988277384,0,157582,0.276156988277384
"59",100,50,0.1,0.853823205165344,0.37213504125061,0.5,807392,0.37213504125061
"60",200,50,0.1,0.804776990182865,0.275680769263398,0.5,407619,0.275680769263398
"61",100,50,0.2,0.545588036777371,0.391096998111917,0,457718,0.391096998111917
"62",200,50,0.2,0.406968968695901,0.277200621985708,0,595791,0.277200621985708
"63",100,50,0.2,0.533023452034116,0.372465921285712,0.5,307365,0.372465921285712
"64",200,50,0.2,0.33483931232127,0.252844520086795,0.5,517171,0.252844520086795
"65",100,50,0.1,0.997289692533603,0.382091407136173,0,638130,0.382091407136173
"66",200,50,0.1,0.688125294155858,0.277044522676785,0,633068,0.277044522676785
"67",100,50,0.1,1.04053488656692,0.381032951465855,0.5,117066,0.381032951465855
"68",200,50,0.1,0.768050104570572,0.265687597121706,0.5,356479,0.265687597121706
